ReviewID MovieID Rating
Number_Reviews: 2501
140035 188 5
133994 78 4
123308 199 2
122922 227 3
122508 202 1
124766 1329 2
123534 9 3
123161 182 3
122461 68 2
124954 136 2
124124 53402 2
124689 97 3
123078 130 3
122329 137 2
124495 199 4
123425 118 1
124516 203 3
123406 117 3
136904 171 3
123700 115 3
123882 203 2
122048 56181 3
121538 165 3
133555 6 5
137187 46 5
123958 132281 3
124123 52099 3
122690 172 2
132490 156761 3
122954 115 2
123426 29 2
136957 4 5
124649 107 4
140811 68 3
135951 53402 4
124517 11 1
124028 22 1
122364 201 2
121661 192 3
122981 160 2
135180 215 3
135052 218 3
122496 96 3
140270 231 4
142855 213 5
139758 182 4
122953 117 3
124868 992815 2
123607 29 3
123210 96 3
122153 48 1
132978 355 3
135112 177 3
121768 78 3
123444 174 1
121592 76 3
121547 23 3
122100 139 1
121391 230 3
143024 54 3
136723 89720 5
121325 138 3
121409 71 3
134221 51 2
134346 141 3
123148 152 2
139253 33 1
121618 56 3
139422 84 4
133279 139 4
142153 198 3
142442 206 3
132622 17 4
139076 39 3
135668 184 3
135286 992815 2
135597 70 4
134157 120 5
134343 92 4
138514 45716 3
124243 8 2
136167 142007 1
137351 102 3
123209 103 3
135179 142007 3
137903 56181 3
124167 33 3
123974 236 4
136602 247 3
122348 83 3
133229 121 3
121583 214 3
123986 238 3
133832 130 4
122425 703817 2
132831 217 3
123760 9 1
138197 204 5
139756 76 2
139000 35198 3
123668 52099 2
135594 223 3
140087 177 3
138805 225 2
121473 166 3
124092 93 2
124318 85 1
143333 199 4
135285 187 3
122710 8 3
134924 217 5
132769 113 4
141449 207 3
121764 16993 1
138198 57 4
134494 109954 4
141800 23 3
142214 28 4
139537 187 4
138199 355 3
138749 40001 4
135051 14 4
143263 147 3
124853 164 4
142381 141 4
135596 219 3
134220 726628 5
142445 38 3
133162 40 5
132621 178 2
139538 136 3
142024 102 3
134676 188 3
138899 16993 3
139419 145 3
142215 232 3
124827 240 2
123043 234 3
140622 125 3
136783 128 3
124166 64 2
139002 208 2
132487 234 4
135181 105 3
140987 37 4
142446 109954 5
140333 59 4
140267 125 2
138948 215 4
136166 101 4
134619 44 3
124125 149 2
137135 173 3
139424 224 3
135720 41556 5
143386 33 3
136214 56 5
123863 209 3
138074 93 3
136729 8 4
135480 17324 3
142496 168 2
137556 232 3
121537 109 3
141394 242 3
135424 159 3
139589 61 2
138302 499812 4
136432 703817 3
142602 222 1
142088 113 3
139699 164 3
134090 36 3
142856 746 3
134495 9 2
137476 29 3
135425 75 4
123561 130 2
142793 51 5
121368 227 4
133336 220 4
135183 225 4
138748 102 3
142382 176 4
139474 153 3
134283 186 5
123335 239 3
123806 249 2
133995 206 4
135350 95 4
122677 31 4
134492 90 4
137674 159 2
141450 176 2
140500 200 3
134439 173 3
141451 27 3
136315 50 4
136725 48 5
133232 982 4
143497 34 4
142663 234 5
135723 161 2
133833 98 4
143384 91 2
134800 172 2
141897 179 3
134987 25 3
138573 44 3
140391 87 4
139755 227 5
135670 164 4
139971 54 3
137677 11 4
133933 6 5
132828 110 3
143438 77 3
134392 176 2
137423 149 4
138572 230 5
137352 101 2
142792 35198 4
140038 168 3
137738 982 4
140812 158 3
138303 26 3
139473 117 1
140436 109 4
124091 145 1
140335 229650 5
135349 32 2
135790 231 4
138633 99 4
138244 71 3
137138 158 4
134222 248 4
137241 52099 3
122365 246 3
133037 229650 4
136490 22 4
137186 119021 4
136960 224 2
137904 208 3
138516 64 3
143136 16993 3
142859 217 2
136666 28 3
135600 38 4
123014 33 1
140502 157 5
142860 123347 1
140989 703817 3
139979 36 2
140992 158 4
134286 25 4
143499 190 5
135055 179 4
136120 139 5
138077 66217 4
136215 187 4
124856 156761 1
141395 139 4
139978 218 3
134442 225 3
123722 156 3
140931 214 4
123562 59 3
134496 126 4
123397 139 3
133043 97 5
140501 40001 3
136784 156 2
135288 6 5
142334 34 5
134096 77 1
137355 237 3
143199 52099 3
137960 14 4
133932 168 5
123592 109 3
138012 112585 3
135601 153 5
142604 70 2
132899 219 3
133670 59 3
124696 51 3
142280 61 3
136785 205 5
139757 726628 3
143198 245 2
123923 121 2
134161 109954 4
123942 161 2
142733 44819 4
141744 14 2
143087 122 4
135290 244 5
123699 32 2
121511 17 3
140993 175 4
139813 109954 3
138849 83 5
134158 86 4
134160 137 3
134926 6 5
133103 31 4
122400 173 2
133440 163 4
142794 6319 3
140150 186 4
122781 154 3
142282 214 3
139368 195 4
134347 68 4
123277 96 2
136494 14 4
132562 39 3
142497 249 5
140092 66217 4
137477 56181 4
135114 195 4
133038 187 5
124781 2053 2
142550 105 3
138143 22 2
138200 45716 4
135789 6319 4
135900 10446 4
137242 94 2
143200 66217 4
140813 181 3
137679 223 3
138394 59 4
135185 208 3
134988 185 4
142670 91 4
122881 146 5
133671 190 3
134493 1328 5
134678 122 3
135598 5114 3
122969 17324 4
135115 134 5
123669 107 2
137554 150 4
123723 137 3
143266 243 3
105015 138 1
139254 200 3
140627 247 3
133558 167 4
124381 98 2
132486 17 4
133337 75 3
132495 128 3
140093 68 3
142671 82 5
132667 204 4
124331 32 2
139312 244 5
141623 15155 3
141396 61 4
137479 178 4
138352 60 2
137300 48 5
133889 355 3
123212 50 4
140763 139 5
122239 214 4
122533 159 4
123883 195 2
141397 17324 3
138634 163 4
124867 118 3
140505 153 5
136667 195 4
140994 8 4
137480 133 4
135479 48 4
138075 168 2
140206 41556 3
122669 202 3
138750 96 5
143265 103 3
140879 119021 2
136731 11 2
133281 119021 2
142971 103 4
133234 149 3
136608 144 4
132832 33 2
139426 217 5
125016 80 1
139189 35198 5
141965 94 5
143385 217 3
143442 179 4
140395 12909 5
136213 1329 4
122753 187 3
134443 175 2
121410 54 2
137299 142007 3
142502 176 5
139648 139 4
142600 32 4
122827 197 3
134094 185 4
140628 87 5
136544 154 3
141575 171 1
136216 157 4
136267 150 5
142734 123 3
123835 110 4
133936 18834 3
133836 56 4
143444 118 3
132835 245 2
142332 84 3
143197 246 5
123788 31 3
143201 1328 5
105064 14 1
139188 194 4
143439 248 4
124733 70 3
134555 38 3
135053 46 4
142669 124 3
142221 54 4
124407 222 3
123445 231 2
137015 150 2
140039 95 4
134680 93 3
143267 173 5
142913 163 3
132772 11155 4
134620 125 5
123924 123 2
137301 137 4
105025 216 3
122655 242 3
133890 14 3
136668 982 1
105080 116 2
124612 22116 2
105031 88003 2
123384 90 2
132722 726628 4
105057 195 3
139590 5114 3
135722 62713 2
132666 36 1
121392 98 2
136607 249 3
124383 240 4
133039 32 3
141898 125 4
135672 250 3
137475 44819 3
138895 190 3
138015 83 4
136496 185 4
138017 83 4
140563 102 5
124678 128 3
141900 1329 4
138898 249 4
134091 23 3
137558 228 4
139977 46 3
123130 119021 1
132770 75 5
138897 38 4
142972 992815 4
123702 209 4
140154 178 5
138076 210 4
142448 115 3
124578 113 2
123177 117 2
139861 61 3
124202 146 3
140152 94 4
123319 38 2
138752 102 4
142218 5114 4
140338 66217 3
135481 87 1
144160 243 3
135057 241 4
138141 108 4
121701 121 2
140507 8 4
140991 187 4
137961 143 4
122313 499812 4
141620 164 2
133770 144 4
133040 90 3
138901 139 5
122520 65 4
123178 184 4
124107 188 3
143388 50 4
142385 69 5
132902 222 2
132839 75 4
135545 90 5
138242 228 3
133498 56181 5
134989 29 4
138353 46 3
140340 154 4
135544 203 1
123930 87 2
